Monat,Internet der Dinge: (Weltweit)
2004-01,5
2004-02,5
2004-03,5
2004-04,5
2004-05,4
2004-06,4
2004-07,5
2004-08,4
2004-09,4
2004-10,5
2004-11,4
2004-12,4
2005-01,4
2005-02,5
2005-03,5
2005-04,5
2005-05,5
2005-06,5
2005-07,4
2005-08,5
2005-09,5
2005-10,5
2005-11,5
2005-12,4
2006-01,5
2006-02,5
2006-03,5
2006-04,6
2006-05,5
2006-06,5
2006-07,5
2006-08,5
2006-09,5
2006-10,5
2006-11,6
2006-12,4
2007-01,6
2007-02,5
2007-03,6
2007-04,6
2007-05,5
2007-06,6
2007-07,5
2007-08,6
2007-09,6
2007-10,6
2007-11,6
2007-12,5
2008-01,7
2008-02,7
2008-03,6
2008-04,6
2008-05,7
2008-06,6
2008-07,6
2008-08,5
2008-09,6
2008-10,6
2008-11,5
2008-12,5
2009-01,5
2009-02,5
2009-03,6
2009-04,5
2009-05,6
2009-06,5
2009-07,5
2009-08,5
2009-09,19
2009-10,10
2009-11,12
2009-12,13
2010-01,11
2010-02,9
2010-03,15
2010-04,12
2010-05,12
2010-06,13
2010-07,11
2010-08,10
2010-09,11
2010-10,11
2010-11,12
2010-12,11
2011-01,8
2011-02,10
2011-03,11
2011-04,10
2011-05,11
2011-06,10
2011-07,9
2011-08,10
2011-09,10
2011-10,10
2011-11,11
2011-12,9
2012-01,8
2012-02,9
2012-03,9
2012-04,9
2012-05,8
2012-06,9
2012-07,8
2012-08,8
2012-09,8
2012-10,8
2012-11,7
2012-12,7
2013-01,8
2013-02,8
2013-03,9
2013-04,8
2013-05,9
2013-06,9
2013-07,9
2013-08,8
2013-09,10
2013-10,12
2013-11,13
2013-12,12
2014-01,17
2014-02,16
2014-03,19
2014-04,21
2014-05,22
2014-06,22
2014-07,24
2014-08,23
2014-09,28
2014-10,31
2014-11,29
2014-12,28
2015-01,37
2015-02,37
2015-03,41
2015-04,43
2015-05,48
2015-06,47
2015-07,42
2015-08,46
2015-09,53
2015-10,58
2015-11,56
2015-12,53
2016-01,54
2016-02,62
2016-03,64
2016-04,69
2016-05,69
2016-06,66
2016-07,60
2016-08,62
2016-09,73
2016-10,84
2016-11,81
2016-12,75
2017-01,78
2017-02,81
2017-03,88
2017-04,83
2017-05,88
2017-06,79
2017-07,75
2017-08,76
2017-09,86
2017-10,100
2017-11,92
2017-12,85
2018-01,87
2018-02,87
2018-03,85
2018-04,85
2018-05,87
2018-06,81
2018-07,79
2018-08,83
2018-09,86
2018-10,91
2018-11,85
2018-12,71
2019-01,81
2019-02,86
2019-03,84
2019-04,82
2019-05,82
2019-06,80
2019-07,80
2019-08,79
2019-09,86
2019-10,86
2019-11,89
2019-12,80
2020-01,83
2020-02,84
2020-03,72
2020-04,71
2020-05,72
2020-06,73
2020-07,69
2020-08,66
2020-09,75
2020-10,74
2020-11,68
2020-12,70
2021-01,65
2021-02,67
2021-03,71
2021-04,70
2021-05,69
2021-06,72
2021-07,66
2021-08,65
2021-09,74
2021-10,77
2021-11,76
2021-12,69
2022-01,80
2022-02,91
2022-03,97
2022-04,89
2022-05,91
2022-06,87
2022-07,74
2022-08,75
2022-09,85
2022-10,91
2022-11,89
2022-12,79
2023-01,80
2023-02,86
2023-03,83
2023-04,81
2023-05,88
2023-06,85
2023-07,78
2023-08,80
2023-09,88
2023-10,89
2023-11,87
2023-12,84
2024-01,86
2024-02,92
2024-03,90
2024-04,92
2024-05,88
2024-06,81
2024-07,81
2024-08,79
